REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
Feb-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],466.9
Mar-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],464.6
Apr-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],465.6
May-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],474.1
Jun-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],470.3
Jul-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],486.7
Aug-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],482.8
Sep-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],479.4
Oct-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],469.2
Nov-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],470.4
Dec-24,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],476.5
Jan-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],471
Feb-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],473.8
Mar-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],477.6
Apr-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],480.4
May-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],471.8
Jun-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],474.9
Jul-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],482.2
Aug-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],476.3
Sep-25,Ontario,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration [91],459.2
May-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",27.4
Jun-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",26.2
Jul-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",26.9
Aug-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",27
Sep-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",29.4
Oct-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",25.8
Nov-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",25.6
Dec-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",24.8
Jan-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",22.6
Feb-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",21.5
Mar-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",22.4
Apr-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",21.3
May-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",22
Jun-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",20.9
Jul-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",20.8
Aug-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",20.7
Sep-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",17.6
Oct-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",17.5
Nov-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",17.3
Dec-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.4
Jan-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",13.2
Feb-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.2
Mar-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.5
Apr-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.6
May-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",16.8
Jun-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",16.3
Jul-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.6
Aug-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.8
Sep-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.8
Oct-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.3
Nov-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",13.4
Dec-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",12.5
Jan-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",13.2
Feb-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",11.9
Mar-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",11.7
Apr-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",12.4
May-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",12.6
Jun-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.6
Jul-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14
Aug-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.7
Sep-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",13
Oct-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",12.3
Nov-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",13.4
Dec-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",13
Jan-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",13.1
Feb-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.5
Mar-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.2
Apr-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.6
May-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.8
Jun-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.9
Jul-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",14.3
Aug-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",16.2
Sep-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",15.2
May-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",3.8
Jun-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.2
Jul-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.9
Aug-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.1
Sep-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.5
Oct-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.4
Nov-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.2
Dec-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.5
Jan-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4
Feb-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.2
Mar-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",3.8
Apr-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",3.4
May-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.6
Jun-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.5
Jul-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.7
Aug-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.5
Sep-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.9
Oct-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.3
Nov-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.4
Dec-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.3
Jan-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.6
Feb-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.5
Mar-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7
Apr-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.8
May-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.9
Jun-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.1
Jul-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.2
Aug-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.9
Sep-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.2
Oct-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.5
Nov-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.1
Dec-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.4
Jan-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.7
Feb-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.3
Mar-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",4.7
Apr-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.8
May-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.4
Jun-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.1
Jul-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.4
Aug-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.8
Sep-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.5
Oct-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.4
Nov-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.3
Dec-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7
Jan-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.4
Feb-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.2
Mar-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.9
Apr-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",5.9
May-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.1
Jun-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.2
Jul-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",7.3
Aug-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.2
Sep-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",6.6
May-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.5
Jun-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6
Jul-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.7
Aug-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.8
Sep-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.1
Oct-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5
Nov-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5
Dec-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.1
Jan-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5
Feb-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],4.9
Mar-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],4.7
Apr-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],4.6
May-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],4.8
Jun-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],4.7
Jul-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],4.9
Aug-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.1
Sep-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5
Oct-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],4.8
Nov-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.4
Dec-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.6
Jan-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.9
Feb-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.8
Mar-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6
Apr-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.4
May-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.5
Jun-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.5
Jul-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.9
Aug-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],7.4
Sep-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.8
Oct-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.1
Nov-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.1
Dec-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.2
Jan-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.2
Feb-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.2
Mar-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.2
Apr-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.6
May-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.3
Jun-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.9
Jul-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6
Aug-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.4
Sep-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.2
Oct-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.1
Nov-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],5.9
Dec-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.9
Jan-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.2
Feb-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.1
Mar-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.4
Apr-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.9
May-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.8
Jun-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],6.6
Jul-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],7
Aug-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],7.5
Sep-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],7.9
May-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],52.9
Jun-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],53.4
Jul-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],56.8
Aug-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],54.1
Sep-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],53.9
Oct-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],53.8
Nov-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],50.1
Dec-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],47.8
Jan-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],50.3
Feb-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],48.9
Mar-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],48.9
Apr-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],49.2
May-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],52.3
Jun-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],52.1
Jul-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],55.5
Aug-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],56.4
Sep-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],54.6
Oct-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],56.1
Nov-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],55.3
Dec-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],55.4
Jan-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],52.7
Feb-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],53.2
Mar-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],54.2
Apr-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],55.4
May-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],59.5
Jun-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],59.7
Jul-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],63.6
Aug-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],64.6
Sep-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],59.9
Oct-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],60.2
Nov-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],57.6
Dec-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],58.8
Jan-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],61.1
Feb-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],57.9
Mar-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],55.2
Apr-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],55.1
May-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],56.2
Jun-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],56.5
Jul-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],59.2
Aug-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],59.1
Sep-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],59.4
Oct-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],59.5
Nov-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],55.9
Dec-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],53.1
Jan-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],53.7
Feb-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],54.8
Mar-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],53.9
Apr-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],56.4
May-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],62.5
Jun-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],63.9
Jul-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],62.6
Aug-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],62
Sep-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],64
May-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],67
Jun-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],67.7
Jul-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],67.4
Aug-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],67.1
